,feature,importance,normalized_importance,cumulative_importance
326,region_code_50.0,2.3,0.0010304659498207882,0.8827508960573471
327,zone_id_6058535.0,2.3,0.0010304659498207882,0.883781362007168
328,region_code_13.0,2.3,0.0010304659498207882,0.8848118279569888
329,city_code_19586.0,2.3,0.0010304659498207882,0.8858422939068096
330,isp_3809.0,2.3,0.0010304659498207882,0.8868727598566304
331,banner_id_24018618.0,2.2,0.0009856630824372759,0.8878584229390677
332,offer_id_1243.0,2.2,0.0009856630824372759,0.888844086021505
333,region_code_25.0,2.2,0.0009856630824372759,0.8898297491039423
334,isp_64445.0,2.2,0.0009856630824372759,0.8908154121863796
335,advertiser_id_336205.0,2.2,0.0009856630824372759,0.8918010752688169
336,isp_34430.0,2.2,0.0009856630824372759,0.8927867383512542
337,city_code_62588.0,2.1999999999999997,0.0009856630824372757,0.8937724014336915
338,banner_id_23348389.0,2.1999999999999997,0.0009856630824372757,0.8947580645161288
339,region_code_12195.0,2.1999999999999997,0.0009856630824372757,0.8957437275985661
340,city_code_116.0,2.1999999999999997,0.0009856630824372757,0.8967293906810034
341,affiliate_id_2362515.0,2.1,0.0009408602150537633,0.8976702508960572
342,region_code_25649.0,2.1,0.0009408602150537633,0.898611111111111
343,city_code_2101.0,2.1,0.0009408602150537633,0.8995519713261648
344,isp_15887.0,2.1,0.0009408602150537633,0.9004928315412186
345,advertiser_id_500720.0,2.1,0.0009408602150537633,0.9014336917562724
346,banner_id_22719527.0,2.1,0.0009408602150537633,0.9023745519713262
347,zone_id_12377661.0,2.1,0.0009408602150537633,0.90331541218638
348,city_code_133.0,2.1,0.0009408602150537633,0.9042562724014338
349,mobile_isp_443.0,2.0999999999999996,0.0009408602150537631,0.9051971326164876
350,zone_id_11877350.0,2.0000000000000004,0.0008960573476702509,0.9060931899641579
351,advertiser_id_353284.0,2.0,0.0008960573476702507,0.9069892473118282
352,mobile_isp_1016.0,2.0,0.0008960573476702507,0.9078853046594985
353,geo_JO,2.0,0.0008960573476702507,0.9087813620071687
354,city_code_14394.0,2.0,0.0008960573476702507,0.909677419354839
355,city_code_2763.0,2.0,0.0008960573476702507,0.9105734767025093
356,region_code_25300.0,2.0,0.0008960573476702507,0.9114695340501796
357,region_code_1.0,1.9000000000000004,0.0008512544802867383,0.9123207885304664
358,region_code_47.0,1.9000000000000004,0.0008512544802867383,0.9131720430107532
359,city_code_10326.0,1.9000000000000001,0.0008512544802867382,0.9140232974910399
360,zone_id_12133116.0,1.9000000000000001,0.0008512544802867382,0.9148745519713267
361,lang_ja,1.9000000000000001,0.0008512544802867382,0.9157258064516135
362,zone_id_12242731.0,1.9,0.0008512544802867382,0.9165770609319003
363,isp_76403.0,1.9,0.0008512544802867382,0.9174283154121871
364,geo_BD,1.9,0.0008512544802867382,0.9182795698924738
365,city_code_103.0,1.9,0.0008512544802867382,0.9191308243727606
366,proxy,1.9,0.0008512544802867382,0.9199820788530474
367,city_code_10792.0,1.8000000000000003,0.0008064516129032258,0.9207885304659507
368,zone_id_4044901.0,1.8,0.0008064516129032257,0.9215949820788539
369,advertiser_id_469364.0,1.8,0.0008064516129032257,0.9224014336917572
370,region_code_25620.0,1.8,0.0008064516129032257,0.9232078853046605
371,banner_id_23018661.0,1.8,0.0008064516129032257,0.9240143369175637
372,region_code_10008.0,1.8,0.0008064516129032257,0.924820788530467
373,netspeed_MOBILE,1.7999999999999998,0.0008064516129032256,0.9256272401433703
374,region_code_12022.0,1.7000000000000002,0.0007616487455197132,0.92638888888889
375,lang_sv,1.7000000000000002,0.0007616487455197132,0.9271505376344098
376,banner_id_22828200.0,1.7000000000000002,0.0007616487455197132,0.9279121863799296
377,isp_14444.0,1.7000000000000002,0.0007616487455197132,0.9286738351254493
378,isp_25124.0,1.7,0.0007616487455197131,0.9294354838709691
379,zone_id_5388033.0,1.7,0.0007616487455197131,0.9301971326164888
380,advertiser_id_341901.0,1.6000000000000003,0.0007168458781362007,0.9309139784946251
381,advertiser_id_579705.0,1.6000000000000003,0.0007168458781362007,0.9316308243727613
382,zone_id_12840064.0,1.6,0.0007168458781362006,0.9323476702508976
383,banner_id_23895849.0,1.6,0.0007168458781362006,0.9330645161290338
384,city_code_577740.0,1.6,0.0007168458781362006,0.9337813620071701
385,geo_IT,1.6,0.0007168458781362006,0.9344982078853064
386,region_code_9878.0,1.6,0.0007168458781362006,0.9352150537634426
387,region_code_21.0,1.6,0.0007168458781362006,0.9359318996415789
